neighborhood,year,denom_tot_pop_count,immigrant_total_pop_pct,denom_tot_immigrant_count,immigrant_noncitizen_pop_pct,immigrant_citizen_pop_pct,denom_renter_housing_count,rent_burden_pct,severe_rent_burden_pct,denom_total_pop,american_indian_native_pop_pct,asian_pop_pct,black_pop_pct,hispanic_pop_pct,native_hawaiian_pacific_islander_pop_pct,other_race_pop_pct,mix_pop_pct,white_pop_pct
Irwindale,2010,1789,21%,373,54%,46%,146,34%,17%,1789,0%,4%,2%,88%,0%,0%,0%,7%
Pico-Union,2010,42027,61%,25637,73%,27%,11141,57%,26%,42027,0%,9%,4%,83%,0%,0%,0%,4%
Glendora,2010,51134,14%,7343,38%,62%,4804,48%,24%,51134,0%,7%,2%,28%,0%,0%,2%,60%
Industry,2010,22539,42%,9510,44%,56%,1776,47%,26%,22539,0%,28%,1%,57%,0%,0%,1%,13%
Sylmar,2010,72851,37%,26862,56%,44%,5517,64%,36%,72851,0%,6%,3%,76%,0%,1%,1%,13%
Torrance,2010,143255,31%,43839,45%,55%,23641,47%,21%,143255,0%,35%,3%,16%,0%,0%,4%,43%
Alhambra,2010,83181,53%,43872,38%,62%,16603,51%,27%,83181,0%,53%,1%,34%,0%,0%,1%,11%
Pico Rivera,2010,63713,33%,20977,51%,49%,5184,59%,26%,63713,0%,2%,0%,91%,0%,0%,0%,6%
Rolling Hills Estates,2010,10399,19%,1946,37%,63%,462,35%,15%,10399,0%,20%,1%,4%,0%,0%,2%,71%
Signal Hill,2010,11018,26%,2812,47%,53%,2125,44%,19%,11018,0%,22%,13%,33%,1%,1%,3%,28%
Hawthorne,2010,88096,35%,30713,60%,40%,21231,49%,25%,88096,0%,7%,26%,52%,1%,0%,1%,12%
North Hills,2010,56958,47%,26565,67%,33%,7867,61%,34%,56958,0%,13%,3%,62%,0%,0%,1%,20%
Hacienda Heights,2010,51655,41%,21371,34%,66%,3440,56%,30%,51655,0%,37%,2%,41%,0%,0%,2%,18%
